YEAR,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Croatia,Switzerland,Norway
2041,1.795194769,2.53523087,2.220409987,1.683301003,3.052096048,1.344951849,6.754800495,2.813283411,1.395932923,2.543868998,2.23097974,1.667618436,2.570791586,1.272772057,1.685388529,2.178772029,2.650762195,1.313349746,1.893716294,4.925450504,1.173323813,1.938397699,1.645124901,1.850265124,1.225760582,0.700221857,1.734370928,1.548721455,1.338601543,0.46373265
2042,1.545711022,2.159622363,1.913535927,1.470628802,2.569137808,1.180503614,5.746373479,2.439166335,1.217375477,2.170051753,1.907682111,1.453530238,2.20584033,1.115962642,1.462869764,1.877983129,2.275911901,1.161509723,1.628062431,4.183524202,1.047995534,1.67303157,1.433028662,1.595957647,1.087882895,0.638322956,1.484115375,1.346116684,1.172585831,0.455459325
2043,1.323393552,1.823338613,1.635670941,1.276840378,2.141616381,1.031509479,4.824197296,2.092510837,1.056648478,1.834851368,1.618973695,1.259311459,1.875153602,0.975364135,1.261811799,1.60490165,1.930339546,1.025111283,1.389745783,3.511458323,0.932105522,1.433512495,1.241202585,1.366855958,0.961514231,0.582506996,1.262637625,1.163273968,1.025219107,0.449250465
2044,1.127175079,1.525186648,1.386454823,1.102141336,1.76683426,0.897889183,3.989105308,1.77446797,0.913355185,1.537209265,1.363510924,1.084889775,1.578472926,0.85054494,1.081790686,1.359606835,1.615005657,0.901478364,1.177961427,2.908240942,0.826044185,1.219809845,1.069254306,1.162476931,0.846853403,0.532704489,1.068490709,0.999892697,0.895671461,0.444605356
2045,0.940685351,1.24021441,1.144364217,0.930967339,1.413680522,0.76830235,3.168261583,1.456742932,0.775328282,1.253127189,1.119642179,0.915035638,1.290359816,0.730826493,0.907353428,1.12143087,1.302792533,0.780617473,0.974622635,2.321870147,0.719951148,1.014371984,0.90229319,0.965464796,0.733433452,0.484544999,0.885678421,0.841757372,0.773094433,0.440933623
2046,0.805260457,1.032915589,0.967471901,0.806747639,1.158262011,0.673713248,2.565434197,1.221848495,0.674615819,1.044602963,0.94233526,0.79127214,1.079931393,0.64403954,0.779776452,0.947307869,1.0728159,0.692323065,0.826746604,1.892723446,0.642483309,0.865059027,0.780116252,0.821828463,0.650932913,0.449782703,0.753135763,0.726980356,0.684423716,0.438525204
2047,0.673449718,0.830011199,0.791083732,0.681738474,0.911908268,0.579809069,1.957111716,0.981070522,0.57511685,0.840773268,0.768680099,0.667488689,0.870408025,0.558669612,0.652929917,0.774242457,0.840021412,0.601256881,0.681076633,1.464631926,0.562742089,0.718559564,0.658233093,0.679853496,0.567005999,0.415287679,0.625398503,0.612980598,0.59849411,0.436517016
2048,0.555382177,0.647416458,0.629762587,0.566922739,0.693043544,0.494415542,1.394860367,0.755763831,0.484822743,0.656767295,0.612188941,0.554112972,0.679201347,0.481600085,0.537167076,0.616532806,0.624598311,0.514274085,0.549250331,1.072894326,0.488074938,0.586742156,0.546601708,0.550968725,0.489176951,0.383998306,0.511875132,0.509300327,0.521863903,0.434927874
2049,0.445620279,0.476768794,0.47623763,0.456990059,0.491408068,0.413768508,0.85355504,0.536414209,0.399713426,0.484154759,0.465668128,0.445999109,0.49782835,0.409242288,0.427324191,0.467107576,0.41661413,0.429099323,0.425202654,0.700012458,0.415049837,0.463455464,0.440212223,0.429282048,0.413755284,0.354441092,0.407294728,0.41116181,0.450944739,0.433628037
2050,0.339856926,0.311333874,0.335390996,0.347568713,0.299040633,0.334816679,0.311971816,0.315063579,0.31663395,0.316227971,0.323427667,0.339009751,0.319462215,0.338715411,0.319201441,0.320107533,0.206416525,0.343693259,0.304060272,0.331590895,0.340736026,0.343467914,0.335017157,0.309982857,0.337521283,0.325428611,0.307574041,0.314688667,0.382931875,0.432543775
