"Reference_key","Scenario_key","Region","Year","Sector","Emissions_MtCO2"
"IPCC_normative","SDS","North America",2050,"Combined",51
"Camarasa","-","NW Europe",2050,"Combined",9.87
"Camarasa","-","SE Europe",2050,"Combined",2.65
"Camarasa","-","South America",2050,"Combined",29.28
"IPCC_normative","IMAGE","Southeast Asia and Developing Pacific",2050,"Combined",111
"IPCC_normative","SDS","Southeast Asia and Developing Pacific",2050,"Combined",238
"IPCC_normative","IMAGE","Southern Asia",2050,"Combined",363
"IPCC_normative","SDS","Southern Asia",2050,"Combined",126
"Camarasa","-","US",2050,"Combined",760
"Ostermeyer","-","Germany",2018,"Residential",94
"IPCC_normative","RECC","Africa",2020,"Residential",138
"IPCC_normative","RECC","Asia Pacific Developed",2020,"Residential",168
"IPCC_normative","RECC","Eastern Asia",2020,"Residential",1183
"IPCC_normative","RECC","Europe and Eurasia",2020,"Residential",1606
"Ostermeyer","-","Germany",2020,"Residential",89.8
"IPCC_normative","RECC","Latin America and Caribbean",2020,"Residential",218
"IPCC_normative","RECC","Middle East",2020,"Residential",200
"IPCC_normative","RECC","North America",2020,"Residential",979
"IPCC_normative","RECC","Southeast Asia and Developing Pacific",2020,"Residential",295
"IPCC_normative","RECC","Southern Asia",2020,"Residential",195
"Ostermeyer","-","Germany",2026,"Residential",77
"IPCC_normative","RECC","Africa",2030,"Residential",81
"IPCC_normative","RECC","Asia Pacific Developed",2030,"Residential",69
"IPCC_normative","RECC","Eastern Asia",2030,"Residential",462
"IPCC_normative","RECC","Europe and Eurasia",2030,"Residential",870
"IPCC_normative","RECC","Latin America and Caribbean",2030,"Residential",82
"IPCC_normative","RECC","Middle East",2030,"Residential",116
"IPCC_normative","RECC","North America",2030,"Residential",361
"IPCC_normative","RECC","Southeast Asia and Developing Pacific",2030,"Residential",149
"IPCC_normative","RECC","Southern Asia",2030,"Residential",163
"Ostermeyer","-","Germany",2034,"Residential",52
"IPCC_normative","RECC","Africa",2040,"Residential",40
"IPCC_normative","RECC","Asia Pacific Developed",2040,"Residential",31
"IPCC_normative","RECC","Eastern Asia",2040,"Residential",172
"IPCC_normative","RECC","Europe and Eurasia",2040,"Residential",378
"IPCC_normative","RECC","Latin America and Caribbean",2040,"Residential",47
"IPCC_normative","RECC","Middle East",2040,"Residential",62
"IPCC_normative","RECC","North America",2040,"Residential",160
"IPCC_normative","RECC","Southeast Asia and Developing Pacific",2040,"Residential",59
"IPCC_normative","RECC","Southern Asia",2040,"Residential",53
"Ostermeyer","-","Germany",2042,"Residential",31
"IPCC_normative","RECC","Africa",2050,"Residential",21
"IPCC_normative","RECC","Asia Pacific Developed",2050,"Residential",18
"IPCC_normative","RECC","Eastern Asia",2050,"Residential",83
"IPCC_normative","RECC","Europe and Eurasia",2050,"Residential",222
"Ostermeyer","-","Germany",2050,"Residential",15
"IPCC_normative","RECC","Latin America and Caribbean",2050,"Residential",26
"IPCC_normative","RECC","Middle East",2050,"Residential",31
"IPCC_normative","RECC","North America",2050,"Residential",72
"IPCC_normative","RECC","Southeast Asia and Developing Pacific",2050,"Residential",28
"IPCC_normative","RECC","Southern Asia",2050,"Residential",16
